PULocationID,trip_count,avg_rpm,median_rpm,std_rpm,avg_revenue,avg_dist,cc_rate,airport_rate,cbd_rate,avg_tip_rate,rpm_cv
3,229,6.199753849707356,4.090909090909091,7.529868367232552,38.86685589519651,9.28890829694323,0.9912663755458515,0.0,0.0,0.0020013649353055286,1.2145431173187595
4,4924,11.02887918337479,9.722222222222221,6.255363565228108,22.70798334687246,2.972156783103168,0.9110479285134038,0.002843216896831844,0.8980503655564581,0.2098527259294621,0.5671803508970884
7,1646,8.524884360651082,7.141864756322587,5.479443295354996,27.061330498177398,4.366609963547995,0.6931956257594167,0.001215066828675577,0.1865127582017011,0.11707555020507691,0.6427586655188959
10,1285,6.1809385218698525,5.243261012491782,5.778401186633703,63.12371206225681,11.94942412451362,0.8863813229571984,0.28715953307392994,0.29027237354085605,0.1173078685222603,0.9348743991204794
11,229,6.708056383615348,5.0,5.6431562463048826,36.27139737991266,8.05410480349345,1.0,0.004366812227074236,0.004366812227074236,0.00101621958827199,0.8412505685087084
12,707,9.418539801498424,7.176966292134831,6.646345441419918,29.90876944837341,4.285473833097595,0.8302687411598303,0.005657708628005658,0.9900990099009901,0.22025075874338443,0.705666226559082
13,16312,9.631524767627146,7.883708929179434,6.202453534130858,28.57188940657185,4.104880456105934,0.9154610102991663,0.015939185875429134,0.9748651299656694,0.24043833683887403,0.6439742080068299
14,1069,6.1328982548234965,4.647887323943662,5.498571892855812,34.834536950420954,7.956753975678204,0.9887745556594949,0.0009354536950420954,0.0037418147801683817,0.006889071501805411,0.8965698865998976
16,166,4.893172816352091,3.8527731092436976,2.7274242282600096,40.40512048192771,10.150060240963857,0.9397590361445783,0.0,0.006024096385542169,0.016853909426853723,0.5573938077857082
17,1362,7.781408942828773,5.853658536585367,6.1720405626844554,27.429464023494862,5.294287812041116,0.973568281938326,0.0022026431718061676,0.00881057268722467,0.013994574499716993,0.7931777661386776
18,566,5.3390571634140205,4.175824175824176,4.45450408992452,37.60583038869258,9.02409893992933,0.9929328621908127,0.0,0.0,0.0014259404620431144,0.8343241050965112
19,175,4.965177196482257,3.7719298245614032,3.8496654584196714,45.657714285714285,10.907942857142858,0.9257142857142857,0.0,0.0,0.01633981901877081,0.7753329450451625
20,297,5.51016588956961,4.186046511627907,4.3883548890731205,36.09983164983165,8.517205387205388,0.9730639730639731,0.0,0.010101010101010102,0.0046156824622826595,0.7964106665790216
21,507,6.97284511068761,5.2,5.694252566470098,32.89132149901381,6.979644970414201,0.9940828402366864,0.0,0.0,0.0,0.8166325905823216
22,563,7.704161313444742,5.531914893617021,6.9994052685710075,33.23570159857904,7.037371225577265,0.9946714031971581,0.0,0.0,0.0009727049132734281,0.9085226780436378
24,7361,10.103392047059378,9.318181818181818,4.302832369491384,19.452429017796494,2.5441801385681293,0.8405108001630214,0.010188833038989268,0.17850835484309197,0.24308231854335072,0.4258799766899806
25,1730,8.457025487652398,6.656504819530544,6.556216944230152,26.915913294797686,4.83320809248555,0.9080924855491329,0.002890173410404624,0.11098265895953757,0.15673076443759876,0.7752391137761729
26,751,7.835830604792923,5.897435897435898,7.157184396433483,29.322636484687084,5.685565912117177,0.9906790945406125,0.0,0.002663115845539281,0.0005475822086296841,0.9133919245339054
28,424,6.670238653560155,4.417184265010352,6.6328716307540025,48.44872641509434,9.401462264150943,0.910377358490566,0.11084905660377359,0.09433962264150944,0.06534461379936268,0.9943979481474463
29,522,6.332632028336448,4.324324324324324,5.397096589980255,38.95565134099616,8.963793103448277,0.9923371647509579,0.0,0.0019157088122605363,0.0016341855218789552,0.8522675193868869
32,377,4.977724900443922,4.0,2.6332259028147154,38.714058355437665,9.543209549071618,1.0,0.0,0.0,0.002935483022904101,0.5290018945361724
33,1762,7.928454662614372,6.561901340996169,5.626715543705704,29.365442678774123,5.155323496027242,0.8910329171396141,0.0028376844494892167,0.24687854710556187,0.12624598648009888,0.7096862860599774
34,136,9.89676252730902,7.284811792576994,9.583008881850724,33.22205882352941,4.830808823529412,0.8676470588235294,0.007352941176470588,0.27205882352941174,0.17634147442710443,0.9682973452588634
35,1996,7.473827888312641,5.555555555555555,6.3879555063281535,30.14687875751503,6.181472945891783,0.998997995991984,0.0,0.0,0.0005318401017877006,0.854710009621369
36,515,7.44254041049941,5.9523809523809526,5.023533492812346,28.556446601941747,5.390815533980582,0.9495145631067962,0.0,0.05048543689320388,0.040619275604359455,0.6749756421510994
37,1390,7.248066058586058,5.6521739130434785,5.752235242071406,28.30379856115108,5.470913669064748,0.9726618705035971,0.0,0.029496402877697843,0.018962471789024,0.7936234570126894
38,267,5.385160353036105,3.7142857142857144,7.60932617689969,48.816292134831464,12.463632958801497,0.9625468164794008,0.00749063670411985,0.018726591760299626,0.0038487577031076333,1.4130175664332112
39,2317,6.949358212877337,5.2592592592592595,5.383009924419849,34.13173500215796,7.001829952524816,0.9969788519637462,0.00043159257660768235,0.00043159257660768235,0.0012626379331325825,0.7746053318197059
40,344,9.221035929364497,7.384121370067014,6.671143387579775,24.60563953488372,4.224883720930232,0.8459302325581395,0.0,0.11627906976744186,0.11490880906154313,0.7234700568008244
