PULocationID,trip_count,avg_rpm,median_rpm,std_rpm,avg_dist,cc_rate,airport_rate,avg_tip_rate,rpm_group
3,229,6.199752401746725,4.0909,7.529868266196769,9.28890829694323,0.9912663755458515,0.008733624454148471,0.0020013215859030838,mid_rpm
4,4916,11.01559690805533,9.71795,6.2180627685587195,2.974637917005696,0.9109031733116355,0.0032546786004882017,0.2066554488610987,high_rpm
7,1644,8.524234184914842,7.14185,5.481078816258884,4.369014598540146,0.6928223844282239,0.04805352798053528,0.11176777875329236,mid_rpm
10,1283,6.180155494933749,5.2433,5.782078287818792,11.9575058456742,0.8862042088854248,0.024162120031176928,0.10642620932277926,mid_rpm
11,229,6.708056768558952,5.0,5.643154049346689,8.05410480349345,1.0,0.0,0.0010161572052401746,mid_rpm
12,707,9.41853946251768,7.177,6.646345046514025,4.285473833097595,0.8302687411598303,0.015558698727015558,0.22025127768313457,mid_rpm
13,16294,9.61444410212348,7.879849999999999,6.150719350121912,4.108012151712287,0.9153676199828158,0.03848042224131582,0.23839676835400606,mid_rpm
14,1068,6.131404213483147,4.6479,5.500930314259093,7.957855805243446,0.9887640449438202,0.0028089887640449437,0.0053774621212121215,mid_rpm
16,165,4.899281212121212,3.84,2.7345911493486703,10.135696969696971,0.9393939393939394,0.0,0.002224516129032258,low_rpm
17,1362,7.781408957415565,5.8537,6.172040476635314,5.294287812041116,0.973568281938326,0.0022026431718061676,0.013994645550527903,mid_rpm
18,566,5.339059010600707,4.1758,4.454503246758143,9.02409893992933,0.9929328621908127,0.0017667844522968198,0.0014259786476868328,low_rpm
19,174,4.968391954022988,3.7712000000000003,3.8605408083731048,10.906724137931034,0.9252873563218391,0.017241379310344827,0.00843167701863354,low_rpm
20,297,5.510164646464647,4.186,4.388352080900282,8.517205387205388,0.9730639730639731,0.0,0.004615570934256056,low_rpm
21,507,6.972844970414201,5.2,5.694252575933649,6.979644970414201,0.9940828402366864,0.0,0.0,mid_rpm
22,563,7.704158969804618,5.5319,6.999404039081978,7.037371225577265,0.9946714031971581,0.0017761989342806395,0.0009728571428571428,mid_rpm
